config,slug,channel_id,channel,status,videos,top_comments,top_commenters,all_comments,all_commenters,qwen_video_done,qwen_video_remaining,qwen_video_parse_errors,qwen_comment_done,qwen_comment_remaining,qwen_comment_parse_errors,base_report_complete,supplement_report_complete,run_dir,error
configs/3cdogs.full.yaml,3cdogs-full,UC5r-9EMDERXlUni-UWAtTdg,科技狗 3C Dog,complete,150,8419,6021,15507,7622,150,0,0,15507,0,0,True,True,runs/3cdogs-full,
configs/3ctim.full.yaml,3ctim-full,UCmoOnxeTHUcUBWFNSUR8HvQ,3cTim哥生活日常,complete,1370,53663,31037,78800,37646,1370,0,0,78800,0,0,True,True,runs/3ctim-full,
configs/achingchef.full.yaml,achingchef-full,UC-SP7S0UGHLs_Miu4_0ccNg,阿慶師,complete,336,19975,11439,37557,12374,336,0,0,37557,0,0,True,True,runs/achingchef-full,
configs/alisasa-official.full.yaml,alisasa-official-full,UCAKJ0tmI_RMXqTgxL_OMfIg,愛莉莎莎 Alisasa,complete,76,49723,34532,83629,39851,76,0,0,83629,0,0,True,True,runs/alisasa-official-full,
configs/anjouclever103.full.yaml,anjouclever103-full,UCjhwHd3mgmqm0ONm0bXKmng,安啾咪,complete,17,2811,2085,3337,2256,17,0,0,3337,0,0,True,True,runs/anjouclever103-full,
configs/annie72127.full.yaml,annie72127-full,UCpgt8SEyAy5tbr9BzVK8Lsg,魚乾,complete,172,29290,20775,37531,23224,172,0,0,37531,0,0,True,True,runs/annie72127-full,
configs/aottergirls.full.yaml,aottergirls-full,UCAr4MVsPBKjhg5eLDDpbDFg,電獺少女-女孩的科技日常,complete,984,42360,23290,70106,27523,984,0,0,70106,0,0,True,True,runs/aottergirls-full,
configs/bailingguo.full.yaml,bailingguo-full,UCD2KoUc0f4Bv2Bz0mbOah8g,百靈果News,complete,731,153920,77113,292617,97202,731,0,0,292617,0,0,True,True,runs/bailingguo-full,
configs/beautywu.full.yaml,beautywu-full,UCAfcy122TZHqDQMMAwfbvBQ,見習網美小吳,complete,344,391701,163806,419485,168519,344,0,0,419485,0,0,True,True,runs/beautywu-full,
configs/blairechen.full.yaml,blairechen-full,UCwwDx8gVlTKYkWnjlz-TBhQ,Blaire Chen,complete,111,8635,5724,11895,6407,111,0,0,11895,0,0,True,True,runs/blairechen-full,
configs/bluepigeon0810.full.yaml,bluepigeon0810-full,UCUn77_F5A65HViL9OEvIpLw,蒼藍鴿的醫學天地,complete,288,69477,42121,123426,53564,288,0,0,123426,0,0,True,True,runs/bluepigeon0810-full,
configs/caizha.full.yaml,caizha-full,UCSckEwXBJmJEUzIo6NplQ5g,菜喳,complete,156,11002,6823,13404,7647,156,0,0,13404,0,0,True,True,runs/caizha-full,
configs/chef-james-tw.full.yaml,chef-james-tw-full,UC4_Ds33FmwzcTDL3G2pbs7g,詹姆士官方專屬頻道,complete,391,46534,25167,65008,30456,391,0,0,65008,0,0,True,True,runs/chef-james-tw-full,
configs/crowndu.full.yaml,crowndu-full,UCGpNjY0Xq2GJLXh4OOX1LOA,滴妹,complete,99,24730,17058,29331,18388,99,0,0,29331,0,0,True,True,runs/crowndu-full,
configs/dietitian-pink.full.yaml,dietitian-pink-full,UCLwFOT4tHGaK9kqXXExhPFQ,營養師品瑄,complete,65,3552,2608,5248,3120,65,0,0,5248,0,0,True,True,runs/dietitian-pink-full,
configs/dreamchefhome.full.yaml,dreamchefhome-full,UCUz5OVO4aYhfur0R-TCaBtg,Dream Chef Home 夢幻廚房在我家,complete,208,13716,9288,18507,10164,208,0,0,18507,0,0,True,True,runs/dreamchefhome-full,
