video_id,title,published_at,period,duration,view_count,comment_count,youtube_url,current_db_label,review_label,needs_review,candidate_confidence,label_status,labeler,labeled_at,notes,evidence
hA6_LLeAw7c,民意調查台灣城市最無聊的竟然是！？我們花一天的時間去體驗！THE MOST BORING CITY OF TAIWAN,2020-02-02T04:00:06Z,pre,PT15M5S,880499,2240,https://www.youtube.com/watch?v=hA6_LLeAw7c,collab,collab,False,,,human,2026-05-02 17:50:27,,
Yf0hAVvACuc,台北路上抓人晚上唱歌，會有人參加嗎?! Inviting Strangers to Join us for Karaoke,2020-02-13T04:00:02Z,pre,PT10M9S,234522,562,https://www.youtube.com/watch?v=Yf0hAVvACuc,collab,collab,False,,,human,2026-05-02 17:50:27,,
X7iw5oGLnjg,旅遊飛鏢射世界地圖，射到哪就去哪！地點跟天氣預報令人崩潰 TRAVELING TO WHEREVER THE DART LANDS ON THE WORLD MAP,2020-02-27T04:00:05Z,pre,PT13M29S,2326661,2279,https://www.youtube.com/watch?v=X7iw5oGLnjg,collab,collab,False,,,human,2026-05-02 17:50:27,,
WQb6dnbENpw,用西語生存一天！在墨西哥跳脫舒適圈！ 超尷尬爆笑的對話！SPEAKING SPANISH IN MEXICO FOR A DAY,2020-03-13T04:00:04Z,pre,PT10M50S,607775,574,https://www.youtube.com/watch?v=WQb6dnbENpw,collab,collab,False,,,human,2026-05-02 17:50:27,,
Jkgg7hASZ_U,台灣人在加州 ｜灣區封城 ｜新型冠狀病毒全球疫情 ｜ 美國淪陷 ｜一起來抗疫｜CORONAVIRUS | BAY AREA LOCKDOWN,2020-03-22T03:00:03Z,pre,PT6M28S,95010,92,https://www.youtube.com/watch?v=Jkgg7hASZ_U,collab,collab,False,,,human,2026-05-02 17:50:27,,
zJeC-bRZklw,居家隔離中可以做的10件事 ｜不再無聊了｜10 Things To Do at Home while Quarantined (Parody) | Coronavirus,2020-03-27T22:00:24Z,pre,PT3M56S,100110,123,https://www.youtube.com/watch?v=zJeC-bRZklw,collab,collab,False,,,human,2026-05-02 17:50:27,,
srYgq35FZyk,【開箱】坎昆CP值爆表 ! 五星級全包式飯店能做些什麼？！ ｜整條海岸最高級Hyatt Zilara｜ Five Stars All Inclusive Resort at Cancun Mexico,2020-04-16T03:00:09Z,pre,PT7M55S,417616,301,https://www.youtube.com/watch?v=srYgq35FZyk,collab,collab,False,,,human,2026-05-02 17:50:27,,
hHDo7PxSBdo,在蘋果公司上班的內幕！ 美國矽谷工程師學到了什麼？ 高薪福利好？！ 跟Google比起來有比較好嗎？｜Working At Apple As An Engineer,2020-04-23T03:45:00Z,pre,PT10M6S,2540677,1858,https://www.youtube.com/watch?v=hHDo7PxSBdo,ian,ian,False,,,human,2026-05-02 17:50:27,,
oBV1GTtfNLE,精算跟數據分析｜實用的技術｜什麼是精算師？｜如何成為一名精算師？｜精算師的前景？ | What is an Actuary?,2020-04-30T03:00:14Z,pre,PT9M26S,1288186,1413,https://www.youtube.com/watch?v=oBV1GTtfNLE,eric,eric,False,,,human,2026-05-02 17:50:27,,
B90Dj_eGjpY,拉斯維加斯找陌生人做挑戰 ！美國街頭玩遊戲 ｜ 世界最狂的不夜城 ｜老外直接飆髒話！｜Las Vegas,2020-05-07T04:30:04Z,pre,PT12M9S,347150,167,https://www.youtube.com/watch?v=B90Dj_eGjpY,eric,eric,False,,,human,2026-05-02 17:50:27,,
